"file name","direction","verb","cause","effect","sent"
"AAL_2_2019_02_25.txt","forward","affect","certain risk factors","our business , results of operations and financial condition , or the trading price of our common stock or other securities","below are certain risk factors that may affect our business, results of operations and financial condition, or the trading price of our common stock or other securities."
"AAL_2_2019_02_25.txt","forward","impact","any of the risk factors below or any such new risks and uncertainties , or any combination thereof","our business","management cannot predict such new risks and uncertainties, nor can it assess the extent to which any of the risk factors below or any such new risks and uncertainties, or any combination thereof, may impact our business."
"AAL_2_2019_02_25.txt","forward","affect","downturns in economic conditions","our business","downturns in economic conditions could adversely affect our business."
"AAL_2_2019_02_25.txt","forward","impacted","by changes in the availability , price volatility and cost of aircraft fuel , which represents one of the largest single cost items in our business","our operating results","our operating results are materially impacted by changes in the availability, price volatility and cost of aircraft fuel, which represents one of the largest single cost items in our business."
"AAL_2_2019_02_25.txt","forward","cause","any of these factors or events","a disruption in oil production , refinery operations , pipeline capacity or terminal access and possibly","any of these factors or events could cause a disruption in oil production, refinery operations, pipeline capacity or terminal access and possibly result in significant increases in the price of aircraft fuel and diminished availability of aircraft fuel supply."
"AAL_2_2019_02_25.txt","forward","affect","these competitive factors","our ability to attract and retain customers , increase usage of our loyalty program and maximize the revenue generated by our loyalty program","these competitive factors affect our ability to attract and retain customers, increase usage of our loyalty program and maximize the revenue generated by our loyalty program."
"AAL_2_2019_02_25.txt","forward","generated","by our loyalty program","the revenue","these competitive factors affect our ability to attract and retain customers, increase usage of our loyalty program and maximize the revenue generated by our loyalty program."
"AAL_2_2019_02_25.txt","forward","affect","any significant data security incident","our business , results of operations and financial condition","evolving data security and privacy requirements could increase our costs, and any significant data security incident could disrupt our operations, harm our reputation, expose us to legal risks and otherwise materially adversely affect our business, results of operations and financial condition."
"AAL_2_2019_02_25.txt","forward","affected","we","individuals","as a result, we must comply with a growing and fast-evolving set of legal requirements in this area, including substantive cybersecurity standards as well as requirements for notifying regulators and affected individuals in the event of a data security incident."
"AAL_2_2019_02_25.txt","forward","impact","a cybersecurity incident","our brand","a cybersecurity incident could also impact our brand, harm our reputation and adversely impact our relationship with our customers, employees and stockholders."
"AAL_2_2019_02_25.txt","forward","impact","a cybersecurity incident","our relationship with our customers , employees and stockholders","a cybersecurity incident could also impact our brand, harm our reputation and adversely impact our relationship with our customers, employees and stockholders."
"AAL_2_2019_02_25.txt","forward","cause","our high level of debt and other obligations may limit our ability to fund general corporate requirements and obtain additional financing","our business to be vulnerable to adverse economic and industry conditions","our high level of debt and other obligations may limit our ability to fund general corporate requirements and obtain additional financing, may limit our flexibility in responding to competitive developments and cause our business to be vulnerable to adverse economic and industry conditions."
"AAL_2_2019_02_25.txt","forward","impact","these obligations","our ability to obtain additional financing , if needed , and our flexibility in the conduct of our business","”these obligations also impact our ability to obtain additional financing, if needed, and our flexibility in the conduct of our business, and could materially adversely affect our liquidity, results of operations and financial condition."
"AAL_2_2019_02_25.txt","forward","affect","these obligations","our liquidity , results of operations and financial condition","”these obligations also impact our ability to obtain additional financing, if needed, and our flexibility in the conduct of our business, and could materially adversely affect our liquidity, results of operations and financial condition."
"AAL_2_2019_02_25.txt","forward","affect","significant pension and other postretirement benefit funding obligations","our liquidity , results of operations and financial condition","we have significant pension and other postretirement benefit funding obligations, which may adversely affect our liquidity, results of operations and financial condition."
"AAL_2_2019_02_25.txt","forward","affect","provisions in our credit card processing and other commercial agreements","our liquidity","if our financial condition worsens, provisions in our credit card processing and other commercial agreements may adversely affect our liquidity."
"AAL_2_2019_02_25.txt","forward","affect","20union disputes , employee strikes and other labor - related disruptions , or our inability to otherwise maintain labor costs at competitive levels","our operations and financial performance","20union disputes, employee strikes and other labor-related disruptions, or our inability to otherwise maintain labor costs at competitive levels may adversely affect our operations and financial performance."
"AAL_2_2019_02_25.txt","forward","affect","a strike","our business , results of operations and financial condition","at the end of a “cooling off” period, unless an agreement is reached or action is taken by congress, the labor organization may exercise “self-help,” such as a strike, which could materially adversely affect our business, results of operations and financial condition."
"AAL_2_2019_02_25.txt","forward","affect","termination of slot controls at some or all of the foregoing airports","our operational performance and competitive position","termination of slot controls at some or all of the foregoing airports could affect our operational performance and competitive position."
"AAL_2_2019_02_25.txt","forward","affected","by a resulting decline in revenue or negative public perception about our services","our operations","if we encounter problems with any of our third-party regional operators or third-party service providers, our operations could be adversely affected by a resulting decline in revenue or negative public perception about our services."
"AAL_2_2019_02_25.txt","forward","generate","they","the expected revenue synergies","any such existing or future investment could involve significant challenges and risks, including that we may not realize a satisfactory return on our investment or that they may not generate the expected revenue synergies."
"AAL_2_2019_02_25.txt","forward","affect","these imperatives","our relationships with conventional travel agents , travel management companies , gdss and otas , including if consolidation of conventional travel agents , travel management companies , gdss or otas continues","these imperatives may affect our relationships with conventional travel agents, travel management companies, gdss and otas, including if consolidation of conventional travel agents, travel management companies, gdss or otas continues, or should any of these parties seek to acquire other technology providers thereby potentially limiting our technology alternatives, such as the proposed acquisition of farelogix by sabre."
"AAL_2_2019_02_25.txt","forward","affect","a number of directives and other regulations","the airline industry","in the last several years, congress has passed laws, and the dot, the faa, the tsa and the dhs have issued a number of directives and other regulations, that affect the airline industry."
"AAL_2_2019_02_25.txt","forward","impact","these requirements","our ability to efficiently or fully utilize our aircraft","these requirements can be issued with little or no notice, or can otherwise impact our ability to efficiently or fully utilize our aircraft, and in some instances have resulted in the temporary grounding of aircraft types altogether, or otherwise caused substantial disruption and resulted in material costs to us and lost revenues."
"AAL_2_2019_02_25.txt","forward","caused","these requirements","substantial disruption","these requirements can be issued with little or no notice, or can otherwise impact our ability to efficiently or fully utilize our aircraft, and in some instances have resulted in the temporary grounding of aircraft types altogether, or otherwise caused substantial disruption and resulted in material costs to us and lost revenues."
"AAL_2_2019_02_25.txt","forward","affected","by changes in law and future actions taken by governmental agencies , including","the results of our operations , demand for air travel , and the manner in which we conduct business each","the results of our operations, demand for air travel, and the manner in which we conduct business each may be affected by changes in law and future actions taken by governmental agencies, including: ."
"AAL_2_2019_02_25.txt","forward","affect","changes in law","the services that can be offered by airlines in particular markets and at particular airports , or the types of fares offered or fees that can be charged to passengers","changes in law that affect the services that can be offered by airlines in particular markets and at particular airports, or the types of fares offered or fees that can be charged to passengers; ."
