"file name","direction","verb","cause","effect","sent"
"HOG_9_2012_02_23.txt","reverse","affected by","changes","earnings","earnings from the company’s financial services business are affected by changes in interest rates."
"WRB_4_2017_02_28.txt","reverse","resulted from","severe storms","past catastrophe-related claims","catastrophes can cause losses in a variety of our property and casualty lines, and most of our past catastrophe-related claims have resulted from severe storms."
"WRB_4_2017_02_28.txt","forward","brought about","continued expansion","additional requirements","our continued expansion into new international markets has brought about additional requirements."
"PEG_6_2015_02_26.txt","forward","result in","current measures","additional expenses","in addition, new or updated security regulations may require us to make changes to our current measures which could also result in additional expenses."
"PEG_6_2015_02_26.txt","forward","result in","distribution operations","various operational challenges","the loss or retirement of key executives or other employees, including those with the specialized knowledge required to support our generation, transmission and distribution operations, could result in various operational challenges."
"IRM_9_2012_02_28.txt","forward","result in","safety standards","significant expense","changing fire and safety standards may result in significant expense in certain jurisdictions."
"DVN_5_2016_02_17.txt","forward","result in","violations","the imposition","moreover, violations of pipeline safety regulations can result in the imposition of significant penalties."
"MRK_9_2012_02_28.txt","reverse","affected by","any","prospects","the company’s business, financial condition, results of operations or prospects could be materially adversely affected by any of these risks."
"MRK_9_2012_02_28.txt","forward","result in","reform","further erosion","further, recent court decisions relating to other companies’ u.s. patents, potential u.s. legislation relating to patent reform, as well as regulatory initiatives may result in further erosion of intellectual property protection."
"MRK_9_2012_02_28.txt","forward","result in","a loss","a material non-cash impairment charge","if one or more important products lose patent protection in profitable markets, sales of those products are likely to decline significantly as a result of generic versions of those products becoming available and, in the case of certain products, such a loss could result in a material non-cash impairment charge."
"MRK_9_2012_02_28.txt","forward","result in","an event","a material non-cash impairment charge","if any of these events had a material adverse effect on the sales of certain products, such an event could result in a material non-cash impairment charge."
"MRK_9_2012_02_28.txt","forward","result in","private sector beneficiaries","further pricing pressures","changes to the health care system enacted as part of health care reform in the united states, as well as increased purchasing power of entities that negotiate on behalf of medicare, medicaid, and private sector beneficiaries, could result in further pricing pressures."
"MRK_9_2012_02_28.txt","forward","result in","any","substantial costs","any of these events could result in substantial costs."
