"verb","sentence"
"NONE","."
"may","below are certain risk factors that may affect our business, results of operations and financial condition, or the trading price of our common stock or other securities."
"NONE","we caution the reader that these risk factors may not be exhaustive."
"NONE","we operate in a continually changing business environment, and new risks and uncertainties emerge from time to time."
"can","management cannot predict such new risks and uncertainties, nor can it assess the extent to which any of the risk factors below or any such new risks and uncertainties, or any combination thereof, may impact our business."
"predict","management cannot predict such new risks and uncertainties, nor can it assess the extent to which any of the risk factors below or any such new risks and uncertainties, or any combination thereof, may impact our business."
"can","management cannot predict such new risks and uncertainties, nor can it assess the extent to which any of the risk factors below or any such new risks and uncertainties, or any combination thereof, may impact our business."
"assess","management cannot predict such new risks and uncertainties, nor can it assess the extent to which any of the risk factors below or any such new risks and uncertainties, or any combination thereof, may impact our business."
"may","management cannot predict such new risks and uncertainties, nor can it assess the extent to which any of the risk factors below or any such new risks and uncertainties, or any combination thereof, may impact our business."
"could","downturns in economic conditions could adversely affect our business."
"NONE","due to the discretionary nature of business and leisure travel spending and the highly competitive nature of the airline industry, our revenues are heavily influenced by the condition of the u. s.  economy and economies in other regions of the world."
"resulted","unfavorable conditions in these broader economies have resulted, and may result in the future, in decreased passenger demand for air travel, changes in booking practices and related reactions by our competitors, all of which in turn have had, and may have in the future, a strong negative effect on our business."
"may","unfavorable conditions in these broader economies have resulted, and may result in the future, in decreased passenger demand for air travel, changes in booking practices and related reactions by our competitors, all of which in turn have had, and may have in the future, a strong negative effect on our business."
"result","unfavorable conditions in these broader economies have resulted, and may result in the future, in decreased passenger demand for air travel, changes in booking practices and related reactions by our competitors, all of which in turn have had, and may have in the future, a strong negative effect on our business."
"decreased","unfavorable conditions in these broader economies have resulted, and may result in the future, in decreased passenger demand for air travel, changes in booking practices and related reactions by our competitors, all of which in turn have had, and may have in the future, a strong negative effect on our business."
"had","unfavorable conditions in these broader economies have resulted, and may result in the future, in decreased passenger demand for air travel, changes in booking practices and related reactions by our competitors, all of which in turn have had, and may have in the future, a strong negative effect on our business."
"may","unfavorable conditions in these broader economies have resulted, and may result in the future, in decreased passenger demand for air travel, changes in booking practices and related reactions by our competitors, all of which in turn have had, and may have in the future, a strong negative effect on our business."
"NONE","see also “the airline industry is intensely competitive and dynamic” below."
"NONE","our business is very dependent on the price and availability of aircraft fuel."
"increased","continued periods of high volatility in fuel costs, increased fuel prices or significant disruptions in the supply of aircraft fuel could have a significant negative impact on our operating results and liquidity."
"could","continued periods of high volatility in fuel costs, increased fuel prices or significant disruptions in the supply of aircraft fuel could have a significant negative impact on our operating results and liquidity."
"represents","our operating results are materially impacted by changes in the availability, price volatility and cost of aircraft fuel, which represents one of the largest single cost items in our business."
"NONE","market prices for jet fuel have fluctuated substantially over the past several years and prices continue to be highly volatile."
"needed","because of the amount of fuel needed to operate our business, even a relatively small increase or decrease in the price of fuel can have a material effect on our operating results and liquidity."
"operate","because of the amount of fuel needed to operate our business, even a relatively small increase or decrease in the price of fuel can have a material effect on our operating results and liquidity."
"can","because of the amount of fuel needed to operate our business, even a relatively small increase or decrease in the price of fuel can have a material effect on our operating results and liquidity."
"NONE","due to the competitive nature of the airline industry and unpredictability of the market for air travel, we can offer no assurance that we may be able to increase our fares, impose fuel surcharges or otherwise increase revenues or decrease other operating costs sufficiently to offset fuel price increases."
"NONE","similarly, we cannot predict actions that may be taken by our competitors in response to changes in fuel prices."
"NONE","although we are currently able to obtain adequate supplies of aircraft fuel, we cannot predict the future availability, price volatility or cost of aircraft fuel."
"including","natural disasters (including hurricanes or similar events in the u. s.  southeast and on the gulf coast where a significant portion of domestic refining capacity is located), political disruptions or wars involving oil-producing countries, economic sanctions imposed against oil-producing countries or specific industry participants, changes in fuel-related governmental policy, the strength of the u. s.  dollar against foreign currencies, changes in the cost to transport or store petroleum products, changes in access to petroleum product pipelines and terminals, speculation in the energy futures markets, changes in aircraft fuel production capacity, environmental concerns and other unpredictable events may result in fuel supply shortages, distribution challenges, additional fuel price volatility and cost increases in the future."
"located","natural disasters (including hurricanes or similar events in the u. s.  southeast and on the gulf coast where a significant portion of domestic refining capacity is located), political disruptions or wars involving oil-producing countries, economic sanctions imposed against oil-producing countries or specific industry participants, changes in fuel-related governmental policy, the strength of the u. s.  dollar against foreign currencies, changes in the cost to transport or store petroleum products, changes in access to petroleum product pipelines and terminals, speculation in the energy futures markets, changes in aircraft fuel production capacity, environmental concerns and other unpredictable events may result in fuel supply shortages, distribution challenges, additional fuel price volatility and cost increases in the future."
"involving","natural disasters (including hurricanes or similar events in the u. s.  southeast and on the gulf coast where a significant portion of domestic refining capacity is located), political disruptions or wars involving oil-producing countries, economic sanctions imposed against oil-producing countries or specific industry participants, changes in fuel-related governmental policy, the strength of the u. s.  dollar against foreign currencies, changes in the cost to transport or store petroleum products, changes in access to petroleum product pipelines and terminals, speculation in the energy futures markets, changes in aircraft fuel production capacity, environmental concerns and other unpredictable events may result in fuel supply shortages, distribution challenges, additional fuel price volatility and cost increases in the future."
"producing","natural disasters (including hurricanes or similar events in the u. s.  southeast and on the gulf coast where a significant portion of domestic refining capacity is located), political disruptions or wars involving oil-producing countries, economic sanctions imposed against oil-producing countries or specific industry participants, changes in fuel-related governmental policy, the strength of the u. s.  dollar against foreign currencies, changes in the cost to transport or store petroleum products, changes in access to petroleum product pipelines and terminals, speculation in the energy futures markets, changes in aircraft fuel production capacity, environmental concerns and other unpredictable events may result in fuel supply shortages, distribution challenges, additional fuel price volatility and cost increases in the future."
"imposed","natural disasters (including hurricanes or similar events in the u. s.  southeast and on the gulf coast where a significant portion of domestic refining capacity is located), political disruptions or wars involving oil-producing countries, economic sanctions imposed against oil-producing countries or specific industry participants, changes in fuel-related governmental policy, the strength of the u. s.  dollar against foreign currencies, changes in the cost to transport or store petroleum products, changes in access to petroleum product pipelines and terminals, speculation in the energy futures markets, changes in aircraft fuel production capacity, environmental concerns and other unpredictable events may result in fuel supply shortages, distribution challenges, additional fuel price volatility and cost increases in the future."
